"x"
0.193
0.236
0.54
0.687
0.408
0.901
0.172
0.53
0.472
0.485
0.829
0.465
0.255
0.756
0.112
0.239
0.431
0.605
0.971
0.438
0.05
0.53
0.719
0.414
0.098
0.181
0.666
0.884
0.4
0.149
0.558
0.723
0.004
0.164
0.655
0.971
0.471
0.98
0.911
0.73
0.481
0.188
0.236
0.85
0.826
0.89
0.531
0.086
0.366
0.05
0.651
0.748
0.571
0.356
0.431
0.636
0.528
0.556
0.553
0.851
0.149
0.352
0.637
0.241
0.716
0.006
0.307
0.712
0.45
0.245
0.289
0.133
0.121
0.614
0.057
0.094
0.127
0.948
0.347
0.426
0.993
0.535
0.607
0.805
0.958
0.581
0.142
0.57
0.055
0.568
0.348
0.853
0.925
0.423
0.954
0.7
0.12
0.149
0.224
0.002
0.474
0.557
0.599
0.564
0.321
0.84
0.177
0.909
0.209
0.635
0.323
0.954
0.938
0.758
0.345
0.821
0.291
0.661
0.473
0.274
0.869
0.346
0.419
0.583
0.291
0.475
0.206
0.171
0.251
0.886
0.555
0.156
0.798
0.152
0.285
0.693
0.258
0.206
0.101
0.735
0.143
0.615
0.177
0.575
0.881
0.355
0.12
0.07
0.1
0.064
0.153
0.533
0.432
0.052
0.873
0.529
0.969
0.49
0.012
0.459
0.384
0.876
0.547
0.464
0.119
0.014
0.533
0.497
0.024
0.398
0.238
0.451
0.845
0.502
0.612
0.214
0.112
0.299
0.544
0.406
0.339
0.112
0.55
0.311
0.896
0.566
0.516
0.348
0.567
0.565
0.661
0.399
0.606
0.923
0.132
0.696
0.661
0.242
0.404
0.382
0.9
0.8
0.61
0.01
0.213
0.165
0.302
0.91
0.057
0.086
0.559
0.227
0.605
0.755
0.7
0.085
0.184
0.944
0.431
0.705
0.689
0.023
0.696
0.298
0.783
0.088
0.344
0.685
0.491
0.019
0.759
0.11
0.854
0.405
0.507
0.664
0.854
0.28
0.92
0.885
0.594
0.546
0.913
0.123
0.684
0.365
0.62
0.1
0.143
0.821
0.302
0.382
0.244
0.101
0.853
0.52
0.702
0.265
0.658
0.86
0.608
0.64
0.145
0.48
0.578
0.036
0.585
0.976
0.457
0.245
0.001
0.708
0.617
0.333
0.296
0.953
0.852
0.619
0.451
0.404
0.613
0.311
0.781
0.675
0.884
0.617
0.466
0.366
0.164
0.731
0.862
0.528
0.61
0.374
0.428
0.097
0.079
0.869
0.772
0.028
0.516
0.866
0.752
0.509
0.103
0.832
0.384
0.933
0.214
0.621
0.51
0.281
0.334
0.026
0.934
0.43
0.033
0.683
0.57
0.158
0.586
0.62
0.351
0.252
0.189
0.48
0.658
0.269
0.303
0.626
0.004
0.857
0.569
0.247
0.125
0.017
0.931
0.716
0.083
0.424
0.463
0.75
0.012
0.304
0.518
0.639
0.503
0.224
0.234
0.669
0.444
0.493
0.835
0.873
0.094
0.135
0.479
0.144
0.382
0.674
0.953
0.012
0.007
0.168
0.271
0.47
0.753
0.788
0.113
0.776
0.494
0.644
0.423
0.605
0.218
0.72
0.866
0.802
0.699
0.544
0.941
0.053
0.326
0.135
0.028
0.74
0.924
0.207
0.593
0.199
0.696
0.106
0.731
0.199
0.09
0.667
0.426
0.246
0.142
0.089
0.591
0.888
0.208
0.533
0.386
0.07
0.231
0.373
0.372
0.322
0.348
0.248
0.863
0.108
0.464
0.054
0.222
0.475
0.825
0.87
0.093
0.549
0.011
0.838
0.07
0.35
0.669
0.514
0.182
0.015
0.518
0.907
0.313
0.307
0.123
0.317
0.702
0.627
0.126
0.183
0.061
0.218
0.28
0.44
0.011
0.515
0.196
0.12
0
0.03
0.752
0.148
0.309
0.555
0.966
0.649
0.905
0.252
0.108
0.815
0.018
0.037
0.33
0.182
0.159
0.143
0.17
0.004
0.35
0.019
0.853
0.972
0.579
0.083
0.434
0.342
0.373
0.74
0.254
0.372
0.12
0.454
0.236
0.172
0.535
